file	line	macro	category	decision	contract	source
test/symphony_elixir/codex/tool_request_handler_test.exs	115	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute ToolRequestHandler.needs_input?("turn/event", %{"params" => %{}})
test/symphony_elixir/codex/tool_request_handler_test.exs	120	flunk	control-flow	rewrite-match	explicit success shape	fn _tool, _arguments -> flunk("tool executor should not be called") end
test/symphony_elixir/config/project_commands_test.exs	21	refute	security-redline	retain-with-contract	security owning contract	refute commands =~ "credential.helper="
test/symphony_elixir/config/project_commands_test.exs	35	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute commands =~ "GIT_SSH_COMMAND="
test/symphony_elixir/config/project_commands_test.exs	36	refute	security-redline	retain-with-contract	security owning contract	refute commands =~ "credential.helper="
test/symphony_elixir/config/schema_domain_test.exs	12	refute	structure-data	rewrite-exact	tested data/state contract	refute Map.has_key?(defaults["agent"], "max_concurrent_agents")
test/symphony_elixir/config/schema_domain_test.exs	14	refute	structure-data	rewrite-exact	tested data/state contract	refute Map.has_key?(defaults["tracker"], "api_key")
test/symphony_elixir/config/schema_domain_test.exs	281	refute	structure-data	rewrite-exact	tested data/state contract	refute Map.has_key?(Map.from_struct(settings.agent), :max_concurrent_agents)
test/symphony_elixir/config/schema_domain_test.exs	282	refute	structure-data	rewrite-exact	tested data/state contract	refute Map.has_key?(Map.from_struct(settings.agent), :max_concurrent_agents_by_state)
test/symphony_elixir/config/schema_domain_test.exs	297	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute StringOrMap.equal?(%{"a" => 1}, %{"a" => 2})
test/symphony_elixir/config/schema_test.exs	39	refute	structure-data	rewrite-exact	tested data/state contract	refute Map.has_key?(Schema.default_profiles(), "merge")
test/symphony_elixir/config/schema_test.exs	78	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute Schema.human_review_state?(settings, "Legacy Review")
test/symphony_elixir/config_multi_project_test.exs	41	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute Config.workflow_prompt() == "Project A agent"
test/symphony_elixir/config_multi_project_test.exs	53	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute Config.workflow_prompt() == "Project A agent for this repository."
test/symphony_elixir/core_test.exs	156	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute Config.human_review_state?("In Progress")
test/symphony_elixir/core_test.exs	197	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute Config.human_review_state?("Product Review")
test/symphony_elixir/core_test.exs	354	refute	structure-data	rewrite-exact	tested data/state contract	refute Map.has_key?(hooks, "after_create")
test/symphony_elixir/core_test.exs	355	refute	structure-data	rewrite-exact	tested data/state contract	refute Map.has_key?(hooks, "before_remove")
test/symphony_elixir/core_test.exs	394	refute	structure-data	rewrite-exact	tested data/state contract	refute File.exists?(Path.join(workspace, "stale.txt"))
test/symphony_elixir/core_test.exs	476	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute trace =~ "created=0"
test/symphony_elixir/core_test.exs	545	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute log =~ "Project repository URL missing in workflow config"
test/symphony_elixir/core_test.exs	546	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute log =~ ":missing_project_repository_url"
test/symphony_elixir/core_test.exs	557	refute_receive	timing	retain	ExUnit mailbox timeout contract	refute_receive :fetch_candidate_issues_called, 200
test/symphony_elixir/core_test.exs	558	refute_receive	timing	retain	ExUnit mailbox timeout contract	refute_receive :fetch_terminal_issues_called, 200
test/symphony_elixir/core_test.exs	590	refute_receive	timing	retain	ExUnit mailbox timeout contract	refute_receive :fetch_candidate_issues_called, 100
test/symphony_elixir/core_test.exs	641	refute	structure-data	rewrite-exact	tested data/state contract	refute Process.whereis(SymphonyElixir.Repo)
test/symphony_elixir/core_test.exs	650	refute_receive	timing	retain	ExUnit mailbox timeout contract	refute_receive {:agent_runner_started, "issue-persistence"}, 200
test/symphony_elixir/core_test.exs	852	refute	structure-data	rewrite-exact	tested data/state contract	refute Map.has_key?(updated_state.running, issue_id)
test/symphony_elixir/core_test.exs	853	refute	structure-data	rewrite-exact	tested data/state contract	refute MapSet.member?(updated_state.claimed, issue_id)
test/symphony_elixir/core_test.exs	854	refute	structure-data	rewrite-exact	tested data/state contract	refute Process.alive?(agent_pid)
test/symphony_elixir/core_test.exs	915	refute	structure-data	rewrite-exact	tested data/state contract	refute Map.has_key?(updated_state.running, issue_id)
test/symphony_elixir/core_test.exs	916	refute	structure-data	rewrite-exact	tested data/state contract	refute MapSet.member?(updated_state.claimed, issue_id)
test/symphony_elixir/core_test.exs	917	refute	structure-data	rewrite-exact	tested data/state contract	refute Process.alive?(agent_pid)
test/symphony_elixir/core_test.exs	918	refute	structure-data	rewrite-exact	tested data/state contract	refute File.exists?(workspace)
test/symphony_elixir/core_test.exs	993	refute	structure-data	rewrite-exact	tested data/state contract	refute Map.has_key?(state.running, issue_id)
test/symphony_elixir/core_test.exs	994	refute	structure-data	rewrite-exact	tested data/state contract	refute MapSet.member?(state.claimed, issue_id)
test/symphony_elixir/core_test.exs	995	refute	structure-data	rewrite-exact	tested data/state contract	refute Process.alive?(agent_pid)
test/symphony_elixir/core_test.exs	1084	refute	structure-data	rewrite-exact	tested data/state contract	refute Map.has_key?(updated_state.running, issue_id)
test/symphony_elixir/core_test.exs	1085	refute	structure-data	rewrite-exact	tested data/state contract	refute MapSet.member?(updated_state.claimed, issue_id)
test/symphony_elixir/core_test.exs	1086	refute	structure-data	rewrite-exact	tested data/state contract	refute Process.alive?(agent_pid)
test/symphony_elixir/core_test.exs	1118	refute	structure-data	rewrite-exact	tested data/state contract	refute MapSet.member?(claimed, issue_id)
test/symphony_elixir/core_test.exs	1172	refute	structure-data	rewrite-exact	tested data/state contract	refute Map.has_key?(state.running, issue_id)
test/symphony_elixir/core_test.exs	1335	refute	security-redline	retain-with-contract	security owning contract	refute refreshed_state.tick_token == stale_tick_token
test/symphony_elixir/coverage_ignore_governance_test.exs	39	refute	structure-data	rewrite-exact	tested data/state contract	refute SymphonyElixir.Shell in ignore_modules
test/symphony_elixir/coverage_ignore_governance_test.exs	40	refute	structure-data	rewrite-exact	tested data/state contract	refute SymphonyElixir.Payload in ignore_modules
test/symphony_elixir/coverage_ignore_governance_test.exs	41	refute	structure-data	rewrite-exact	tested data/state contract	refute SymphonyElixir.Redaction in ignore_modules
test/symphony_elixir/coverage_ignore_governance_test.exs	42	refute	structure-data	rewrite-exact	tested data/state contract	refute SymphonyElixir.StateName in ignore_modules
test/symphony_elixir/coverage_ignore_governance_test.exs	43	refute	structure-data	rewrite-exact	tested data/state contract	refute SymphonyElixir.Text in ignore_modules
test/symphony_elixir/coverage_ignore_governance_test.exs	44	refute	structure-data	rewrite-exact	tested data/state contract	refute SymphonyElixir.NumberFormat in ignore_modules
test/symphony_elixir/coverage_ignore_governance_test.exs	45	refute	structure-data	rewrite-exact	tested data/state contract	refute SymphonyElixir.Codex.DynamicTool in ignore_modules
test/symphony_elixir/dashboard_signal_test.exs	85	refute	structure-data	rewrite-exact	tested data/state contract	refute status.status == :unrecognized
test/symphony_elixir/dashboard_signal_test.exs	117	refute	security-redline	retain-with-contract	security owning contract	refute inspected =~ "super-secret-token"
test/symphony_elixir/dashboard_signal_test.exs	118	refute	security-redline	retain-with-contract	security owning contract	refute inspected =~ "super-secret-cookie"
test/symphony_elixir/dashboard_signal_test.exs	119	refute	security-redline	retain-with-contract	security owning contract	refute inspected =~ "super-secret-api-key"
test/symphony_elixir/default_test_boundary_test.exs	8	refute	structure-data	rewrite-exact	tested data/state contract	refute Process.whereis(SymphonyElixir.Repo)
test/symphony_elixir/dynamic_tool_test.exs	21	refute	structure-data	rewrite-exact	tested data/state contract	refute Enum.any?(DynamicTool.tool_specs(), &(&1["name"] == "linear_graphql"))
test/symphony_elixir/dynamic_tool_test.exs	78	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute rejected["success"]
test/symphony_elixir/dynamic_tool_test.exs	115	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute rejected["success"]
test/symphony_elixir/dynamic_tool_test.exs	145	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute response["success"]
test/symphony_elixir/dynamic_tool_test.exs	150	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute rejected["success"]
test/symphony_elixir/dynamic_tool_test.exs	176	flunk	control-flow	rewrite-match	explicit success shape	issue_creator: fn _payload -> flunk("implementation profile must not create issues") end
test/symphony_elixir/dynamic_tool_test.exs	385	flunk	control-flow	rewrite-match	explicit success shape	DynamicTool.execute("linear_task_read", %{"include_activity" => "yes"}, task_reader: fn _payload -> flunk("reader should not be called") end)
test/symphony_elixir/dynamic_tool_test.exs	391	flunk	control-flow	rewrite-match	explicit success shape	DynamicTool.execute("linear_task_read", %{"activity_limit" => 101}, task_reader: fn _payload -> flunk("reader should not be called") end)
test/symphony_elixir/dynamic_tool_test.exs	504	flunk	control-flow	rewrite-match	explicit success shape	DynamicTool.execute("linear_task_update", %{}, task_updater: fn _payload -> flunk("updater should not be called") end)
test/symphony_elixir/dynamic_tool_test.exs	510	flunk	control-flow	rewrite-match	explicit success shape	DynamicTool.execute("linear_task_update", %{"references" => ["bad"]}, task_updater: fn _payload -> flunk("updater should not be called") end)
test/symphony_elixir/dynamic_tool_test.exs	570	flunk	control-flow	rewrite-match	explicit success shape	flunk("unexpected graphql call")
test/symphony_elixir/dynamic_tool_test.exs	617	flunk	control-flow	rewrite-match	explicit success shape	flunk("attachment should not be linked")
test/symphony_elixir/dynamic_tool_test.exs	665	flunk	control-flow	rewrite-match	explicit success shape	flunk("quality gate must run before issue or state lookup writes")
test/symphony_elixir/dynamic_tool_test.exs	670	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute response["success"]
test/symphony_elixir/dynamic_tool_test.exs	706	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute response["success"]
test/symphony_elixir/dynamic_tool_test.exs	748	flunk	control-flow	rewrite-match	explicit success shape	flunk("unexpected GraphQL operation")
test/symphony_elixir/event_presenter_test.exs	68	refute	security-redline	retain-with-contract	security owning contract	refute inspected =~ "secret-token"
test/symphony_elixir/event_presenter_test.exs	69	refute	security-redline	retain-with-contract	security owning contract	refute inspected =~ "secret-cookie"
test/symphony_elixir/execution_worker_deployment_test.exs	21	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute dockerfile =~ "npm install --global @openai/codex\n"
test/symphony_elixir/execution_worker_deployment_test.exs	30	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute base =~ "CODEX_HOME"
test/symphony_elixir/execution_worker_deployment_test.exs	31	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute base =~ "/home/symphony/.codex"
test/symphony_elixir/execution_worker_deployment_test.exs	32	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute base =~ "COPY --from=codex"
test/symphony_elixir/execution_worker_deployment_test.exs	33	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute without_codex =~ "CODEX_HOME"
test/symphony_elixir/execution_worker_deployment_test.exs	34	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute without_codex =~ "COPY --from=codex"
test/symphony_elixir/execution_worker_deployment_test.exs	69	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute dockerfile =~ ~r/mise[^\n]*(?:latest|releases\/latest)/i
test/symphony_elixir/execution_worker_deployment_test.exs	102	refute	security-redline	retain-with-contract	security owning contract	refute workflow =~ "git credential fill"
test/symphony_elixir/execution_worker_deployment_test.exs	109	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute workflow =~ "scripts/check.sh"
test/symphony_elixir/execution_worker_deployment_test.exs	137	refute	security-redline	retain-with-contract	security owning contract	refute body =~ "x-access-token"
test/symphony_elixir/execution_worker_deployment_test.exs	138	refute	security-redline	retain-with-contract	security owning contract	refute body =~ ~r/git config.*\$(?:GH_TOKEN|GITHUB_TOKEN)/
test/symphony_elixir/execution_worker_deployment_test.exs	141	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute compose =~ ~r/GIT_CONFIG_(?:GLOBAL|COUNT|KEY|VALUE)/
test/symphony_elixir/execution_worker_deployment_test.exs	161	refute	security-redline	retain-with-contract	security owning contract	refute worker =~ "DATABASE_URL"
test/symphony_elixir/execution_worker_deployment_test.exs	162	refute	security-redline	retain-with-contract	security owning contract	refute worker =~ "POSTGRES_"
test/symphony_elixir/execution_worker_deployment_test.exs	164	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute worker =~ "- database"
test/symphony_elixir/execution_worker_deployment_test.exs	176	refute	security-redline	retain-with-contract	security owning contract	refute body =~ ~r/^\s*privileged:\s*true\s*$/m
test/symphony_elixir/execution_worker_deployment_test.exs	177	refute	security-redline	retain-with-contract	security owning contract	refute body =~ "/var/run/docker.sock"
test/symphony_elixir/execution_worker_deployment_test.exs	178	refute	security-redline	retain-with-contract	security owning contract	refute body =~ "/run/docker.sock"
test/symphony_elixir/execution_worker_deployment_test.exs	179	refute	security-redline	retain-with-contract	security owning contract	refute body =~ ~r/(?:podman|containerd|nerdctl).*\.sock/i
test/symphony_elixir/execution_worker_deployment_test.exs	189	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute body =~ ~r/^\s*(?:docker(?:-\S+)?|buildx|podman(?:-\S+)?|nerdctl)\s*\\?\s*$/mi
test/symphony_elixir/execution_worker_deployment_test.exs	190	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute body =~ ~r/^\s*(?:COPY|ADD)\s+.*(?:docker|buildx|podman|nerdctl)/mi
test/symphony_elixir/execution_worker_deployment_test.exs	214	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute workflow =~ ~S("${IMAGE}:latest")
test/symphony_elixir/execution_worker_deployment_test.exs	215	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute workflow =~ ~S("${WORKER_IMAGE}:latest")
test/symphony_elixir/execution_worker_deployment_test.exs	216	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute workflow =~ "tags+=\", latest\""
test/symphony_elixir/execution_worker_deployment_test.exs	217	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute workflow =~ "Select immutable and mutable tags"
test/symphony_elixir/execution_worker_deployment_test.exs	232	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute workflow =~ ".services.execution-worker"
test/symphony_elixir/execution_worker_deployment_test.exs	256	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute compose =~ ":latest"
test/symphony_elixir/execution_worker_deployment_test.exs	286	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute panel =~ "codex_home"
test/symphony_elixir/extensions_test.exs	598	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "/assets/app.js"
test/symphony_elixir/extensions_test.exs	599	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "<style>"
test/symphony_elixir/extensions_test.exs	671	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "Raw rate-limit payload"
test/symphony_elixir/extensions_test.exs	672	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "Event log"
test/symphony_elixir/extensions_test.exs	673	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "log-table"
test/symphony_elixir/extensions_test.exs	674	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "data-runtime-clock="
test/symphony_elixir/extensions_test.exs	675	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "setInterval(refreshRuntimeClocks"
test/symphony_elixir/extensions_test.exs	676	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "Refresh now"
test/symphony_elixir/extensions_test.exs	677	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "Transport"
test/symphony_elixir/extensions_test.exs	748	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "Bearer"
test/symphony_elixir/extensions_test.exs	775	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "unrecognized"
test/symphony_elixir/extensions_test.exs	776	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "Raw rate-limit payload"
test/symphony_elixir/extensions_test.exs	901	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "<details open"
test/symphony_elixir/extensions_test.exs	972	refute	structure-data	rewrite-exact	tested data/state contract	refute html =~ "Active issue sessions in the current runtime."
test/symphony_elixir/extensions_test.exs	1174	flunk	structure-data	rewrite-exact	tested data/state contract	defp assert_eventually(_fun, 0), do: flunk("condition not met in time")
test/symphony_elixir/first_run_defaults_test.exs	51	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute prompt =~ "Disabled"
test/symphony_elixir/github_pull_request_test.exs	141	flunk	control-flow	rewrite-match	explicit success shape	["pr", "create" | _rest] -> flunk("closed branch PR must not create an ambiguous duplicate")
test/symphony_elixir/github_pull_request_test.exs	158	flunk	control-flow	rewrite-match	explicit success shape	_ -> flunk("repository mismatch must stop lookup")
test/symphony_elixir/github_pull_request_test.exs	225	refute	security-redline	retain-with-contract	security owning contract	refute details =~ "super-secret-token"
test/symphony_elixir/github_pull_request_test.exs	429	flunk	control-flow	rewrite-match	explicit success shape	flunk("merged branch PR must not create a duplicate")
test/symphony_elixir/implementation_handoff_test.exs	26	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute Keyword.has_key?(handoff_opts, :workspace)
test/symphony_elixir/implementation_handoff_test.exs	71	flunk	control-flow	rewrite-match	explicit success shape	graphql: fn _query, _variables -> flunk("Linear must not be called before PR success") end
test/symphony_elixir/implementation_handoff_test.exs	74	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute response["success"]
test/symphony_elixir/implementation_handoff_test.exs	117	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute response["success"]
test/symphony_elixir/implementation_handoff_test.exs	128	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute response["success"]
test/symphony_elixir/implementation_handoff_test.exs	139	flunk	control-flow	rewrite-match	explicit success shape	graphql: fn _query, _variables -> flunk("forged proof must fail before Linear writes") end
test/symphony_elixir/implementation_handoff_test.exs	142	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute response["success"]
test/symphony_elixir/linear_client_test.exs	36	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute issue.assigned_to_worker
test/symphony_elixir/linear_client_test.exs	102	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute issue.assigned_to_worker
test/symphony_elixir/linear_diagnostics_probes_test.exs	127	refute	security-redline	retain-with-contract	security owning contract	refute detail =~ "secret-token"
test/symphony_elixir/linear_diagnostics_test.exs	276	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute diagnostics.probes.api.detail =~ "Settings / Projects"
test/symphony_elixir/linear_diagnostics_test.exs	277	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute diagnostics.probes.api.detail =~ "Linear project slug"
test/symphony_elixir/linear_diagnostics_test.exs	279	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute diagnostics.probes.api.detail =~ "Cannot load active workflow config"
test/symphony_elixir/linear_diagnostics_test.exs	355	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute rendered =~ "Authorization"
test/symphony_elixir/linear_diagnostics_test.exs	356	refute	security-redline	retain-with-contract	security owning contract	refute rendered =~ "secret"
test/symphony_elixir/linear_diagnostics_test.exs	494	refute	security-redline	retain-with-contract	security owning contract	refute log =~ "secret-token-value"
test/symphony_elixir/linear_diagnostics_test.exs	689	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "Fetch Linear configuration"
test/symphony_elixir/linear_diagnostics_test.exs	690	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "Linear Configuration Discovery"
test/symphony_elixir/linear_diagnostics_test.exs	691	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "No discovery data fetched yet."
test/symphony_elixir/linear_diagnostics_test.exs	693	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "Shared health"
test/symphony_elixir/linear_diagnostics_test.exs	694	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "Latest shared Linear signal"
test/symphony_elixir/linear_diagnostics_test.exs	705	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "Authorization"
test/symphony_elixir/linear_diagnostics_test.exs	706	refute	security-redline	retain-with-contract	security owning contract	refute html =~ "secret"
test/symphony_elixir/linear_diagnostics_test.exs	724	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "Fetch Linear configuration"
test/symphony_elixir/linear_diagnostics_test.exs	725	refute	implementation-detail	review-delete-or-positive	nearest owning contract	refute html =~ "Linear Configuration Discovery"
test/symphony_elixir/linear_health_test.exs	50	refute	security-redline	retain-with-contract	security owning contract	refute inspect(signal) =~ "secret-token"
test/symphony_elixir/linear_health_test.exs	72	refute	security-redline	retain-with-contract	security owning contract	refute signal.detail =~ "secret-token"
test/symphony_elixir/linear_issue_normalizer_test.exs	46	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute IssueNormalizer.normalize_issue(%{"assignee" => %{"id" => "user-2"}}, assignee_filter).assigned_to_worker
test/symphony_elixir/linear_issue_normalizer_test.exs	47	refute	deployment-capability	review	docs/compose.md or docs/deployment.md	refute IssueNormalizer.normalize_issue(%{"assignee" => nil}, assignee_filter).assigned_to_worker
test/symphony_elixir/live_e2e_test.exs	142	flunk	control-flow	rewrite-match	explicit success shape	flunk("expected Linear team #{inspect(team_key)} to exist")
test/symphony_elixir/live_e2e_test.exs	150	flunk	deployment-capability	review	docs/compose.md or docs/deployment.md	flunk("expected team to expose at least one non-terminal workflow state")
test/symphony_elixir/live_e2e_test.exs	180	flunk	control-flow	rewrite-match	explicit success shape	flunk("expected workspace to expose a completed project status")
test/symphony_elixir/live_e2e_test.exs	183	flunk	control-flow	rewrite-match	explicit success shape	flunk("expected project statuses list, got: #{inspect(payload)}")
test/symphony_elixir/live_e2e_test.exs	237	flunk	control-flow	rewrite-match	explicit success shape	payload -> flunk("expected issue details payload, got: #{inspect(payload)}")
test/symphony_elixir/live_e2e_test.exs	272	flunk	control-flow	rewrite-match	explicit success shape	flunk("Linear GraphQL returned partial errors: #{inspect(errors)}")
test/symphony_elixir/live_e2e_test.exs	275	flunk	control-flow	rewrite-match	explicit success shape	flunk("Linear GraphQL failed: #{inspect(errors)}")
